gene,gene_score_add,pval_gs,chr,tss_pos,gene_score_prom,gene_score_enh,n.cpg.gene,n.cpg.sig.gene,n.cpg.in.eQTR,cpg_id,pos,tss_dist,pval,padj,meth.change
AASDH,45.7228645679328,0.108,chr4,56387508,,45.7228645679328,13,0,13,525034,57254800,-867292,0.0692230717196614,0.488506145461462,30.5786297619308
AASDHPPT,20.9931053742779,0.356,chr11,105948388,20.9931053742779,,1,0,0,1334833,105948363,-25,0.351805571346987,0.754147649245827,14.8287803857188
AASS,15.8489579873895,0.974,chr7,121784303,3.77548259431002,12.0734753930795,30,1,8,904498,121651353,132950,0.00599388471445422,0.248150583490434,16.5885113361738
AATBC,355.993419233989,0.005,chr21,45232448,257.56709049081,98.4263287431791,53,1,0,2125602,45232225,223,0.0013342471981973,0.167084257846279,50.2880703001482
AATF,1067.01105921051,0,chr17,35306253,712.822092031059,354.188967179453,20,5,0,1810003,35300841,-5412,0.000154637693964918,0.0976828550615721,52.2978612487768
AATK,558.223657432883,0.001,chr17,81166077,333.677082923598,224.546574509285,100,1,35,1869326,79134764,2031313,0.00726355607772436,0.2621510603846,45.2943132695608
AB019441.29,0.0152457660931344,0.921,chr14,105979146,,0.0152457660931344,2,0,2,1589271,106090090,-110944,0.775186595348534,0.938101919413244,-2.27636486565521
ABALON,19.5011540537616,0.733,chr20,30309309,18.7784008594553,0.722753194306293,8,0,0,2058809,30309628,319,0.239984054983111,0.678478510004474,16.2467606725341
ABAT,338.181380183879,0.022,chr16,8674565,200.557883822329,137.62349636155,60,1,12,1683594,8715458,40893,5.54577486255725e-05,0.0790060188212629,47.7072960448374
ABC13-47488600E17.1,28.7845423190019,0.056,chr13,113973997,,28.7845423190019,59,2,59,1519603,114639335,-665338,0.00095719280135944,0.154702316147096,33.4891905801662
ABC7-42389800N19.1,23.2101721278771,0.062,chr12,32015,,23.2101721278771,4,1,4,1359314,89903,-57888,0.00375083838240551,0.219055561997303,31.0914190343996
ABC7-481722F1.1,7.52087245029011,0.234,chr7,37032,7.52087245029011,,2,0,2,810458,35489,-1543,0.232412872472894,0.672560947223536,20.2209055488591
ABCA1,184.471303818695,0.312,chr9,107690436,128.545600995508,55.9257028231873,55,1,0,1093659,107753644,-63208,0.00436862363838275,0.229000519993057,43.9851638692961
ABCA11P,15.1742058498397,0.854,chr4,467998,-0.320253799192079,14.8539520506477,6,0,1,483428,467535,463,0.377170711746236,0.768770165287361,-14.2255613203853
ABCA12,3.1849640333735,0.863,chr2,215896810,,3.1849640333735,10,0,0,332364,215922187,-25377,0.164693283108232,0.613997634077614,11.659775696605
ABCA13,52.7915155625483,0.183,chr7,48211054,22.8193548335377,29.9721607290106,38,1,1,853596,48284707,73653,0.00831516810980677,0.27302871763179,37.4086288422371
ABCA17P,697.987854010507,0,chr16,2390922,684.625405074044,13.3624489364625,28,3,0,1674037,2391111,189,0.0025868888916124,0.198087590139156,44.6075466080103
ABCA2,357.536245071243,0.022,chr9,139922689,282.106328028082,75.4299170431606,61,1,44,1136687,139922535,154,0.00389601781795777,0.221719087162871,60.1194334415681
ABCA3,1058.54962363725,0,chr16,2390729,999.773266142873,58.7763574943728,31,3,0,1674030,2390644,85,0.000284826363382765,0.113769445150748,52.5669604957315
ABCA4,95.342495123037,0.092,chr1,94586704,-0.295061382953513,95.0474337400835,41,2,0,101061,94521472,65232,0.0022672373468106,0.191701738243479,39.873260519477
ABCA5,160.304506544266,0.085,chr17,67323274,134.024046404234,26.2804601400329,11,0,2,1848659,67322882,392,0.0832956224934099,0.512337112153551,32.3045891303988
ABCA6,5.85584184328103,0.135,chr17,67138036,1.49825855062266,4.35758329265837,2,0,0,1848582,67148103,-10067,0.142472010391084,0.590937515941714,10.8584606815947
ABCA7,891.907677523088,0.018,chr19,1040105,361.327868063157,530.579809459931,190,5,140,1931326,1040308,203,0.00208087183294171,0.187808228650837,42.9577487225907
ABCA9,3.94446103206179,0.16,chr17,67057068,,3.94446103206179,2,0,0,1848562,67069994,-12926,0.053391337397725,0.455727013771292,7.41206610227785
ABCA9-AS1,4.24400939018555,0.242,chr17,67000854,,4.24400939018555,3,0,0,1848533,66984201,-16653,0.196843478787373,0.643392130277464,-8.21656671380378
ABCB1,125.241177821285,0.14,chr7,87230200,124.254402402862,0.986775418423278,9,0,0,882391,87229765,435,0.0564484912465187,0.462425123648283,31.1536640580419
ABCB10,1796.5029523432,0,chr1,229694454,1774.39889002238,22.1040623208245,35,5,0,178644,229693944,510,0.000217339892937921,0.105651518034031,75.5425811712951
ABCB11,0.31202607818823,0.62,chr2,169887834,,0.31202607818823,1,0,0,307860,169901205,-13371,0.636054718867617,0.888464244307359,4.66264623338636
ABCB4,94.614985495983,0.209,chr7,87105019,79.0466761062239,15.568309389759,13,1,0,882368,87156063,-51044,0.00235094625376288,0.193656343620507,21.4204474890833
ABCB5,9.9084947766954,0.462,chr7,20655289,,9.9084947766954,14,0,0,833695,20596022,-59267,0.0377342996480435,0.415086891943941,12.0300622977474
ABCB8,185.774227676537,0.15,chr7,151028422,85.8138375880887,99.960390088448,19,1,14,925846,150743192,-285230,0.00917297525953321,0.28079488223399,-21.1407673891108
ABCB9,765.915541121431,0.001,chr12,122981570,646.391047747069,119.524493374362,35,7,30,1447072,123465003,-483433,0.000227990200099312,0.10690428585269,55.7733541442243
ABCC1,1488.55122973346,0,chr16,16043472,1009.07589950607,479.475330227392,73,5,19,1692288,16156372,112900,0.000493479585018493,0.130166388768614,51.7889875703872
ABCC10,203.097839303181,0.035,chr6,43395600,203.010050909439,0.0877883937415856,7,0,1,741998,43395640,40,0.0322427995711592,0.398315316830079,37.3930175075939
ABCC11,51.5077193523521,0.018,chr16,48281450,,51.5077193523521,13,0,0,1715902,48312234,-30784,0.0143918940190402,0.319086253852805,31.1410008753899
ABCC12,136.192002257122,0.016,chr16,48180681,7.78578072404249,128.406221533079,59,2,0,1715780,48190847,-10166,0.00195653129657139,0.184820312592231,46.609654252707
ABCC13,1.51430098287485,0.366,chr21,14236206,,1.51430098287485,2,0,2,2103691,15646633,1410427,0.343396112291381,0.749134930162094,7.72595648058055
ABCC2,139.525003233507,0.018,chr10,99782732,,139.525003233507,46,2,38,1214474,101381067,1598335,0.000930768200507945,0.153774967980536,55.2559796852814
ABCC3,503.480415739318,0,chr17,50634777,,503.480415739318,40,5,40,1831646,48712474,-1922303,0.00181163028685005,0.181019995441227,42.5181931775335
ABCC4,93.2157721398026,0.366,chr13,95953700,70.0494897080403,23.1662824317623,21,0,6,1503042,95949659,4041,0.032589358525801,0.399381789240672,18.3994085975021
ABCC5,133.895113333116,0.199,chr3,184018015,,133.895113333116,20,0,20,469006,183735841,282174,0.0262045630251028,0.376553924339574,36.619057391059
ABCC5-AS1,21.8899828846594,0.5,chr3,183724125,18.8982704758248,2.99171240883463,5,0,0,468986,183719908,-4217,0.178376589069125,0.626466218109099,6.39499918120855
ABCC6,33.321168744112,0.015,chr16,16223522,,33.321168744112,18,0,18,1692525,16301545,-78023,0.0143266061288376,0.318828717888348,37.8256995180601
ABCC6P1,507.548118527262,0,chr16,18582569,456.18903115785,51.3590873694118,44,2,0,1694938,18582519,-50,0.000920181884904357,0.153153242327388,35.5446488850298
ABCC6P2,215.029208054695,0.004,chr16,14918559,201.041578675615,13.9876293790794,18,1,0,1690505,14918606,-47,0.000965235266774462,0.154940681518459,35.4255143727091
ABCD2,582.797165470357,0.003,chr12,40013605,571.439030764128,11.3581347062283,13,1,0,1386049,40013834,-229,0.00246967514640007,0.195684357492157,55.7409695219649
ABCD3,511.154013689827,0.011,chr1,94883932,476.069127400434,35.0848862893925,37,1,3,101299,94883850,-82,0.00360267829576441,0.216749563954393,33.9473043635822
ABCF1,94.7031744361976,0.019,chr6,30571376,,94.7031744361976,21,0,21,724559,29691479,-879897,0.0284900541907747,0.385051527243231,35.2613554754178
ABCF2,204.775228829856,0.032,chr7,151227230,,204.775228829856,49,1,49,926493,150942324,284906,0.00851645831515454,0.2749822729947,54.1800835789086
ABCF3,19.5375832625081,0.304,chr3,184186023,,19.5375832625081,10,0,10,469271,183904115,-281908,0.0369563884327435,0.412873638913184,31.5497522599012
ABCG1,307.509504832808,0.048,chr21,43640007,135.528622348529,171.980882484279,83,3,0,2122232,43655174,15167,0.000751384364516858,0.145243192916979,63.3855558768537
ABCG2,69.2582777186374,0.604,chr4,89079791,-4.18336355747683,65.0749141611605,28,0,14,539018,89022287,57504,0.0275204907282138,0.381597420992583,-28.7729790108174
ABCG4,590.692520679003,0.006,chr11,119020298,579.126782658707,11.5657380202961,17,2,0,1344782,119020422,124,0.00261524761715395,0.1984284443937,53.4789719179976
ABCG5,55.6683380887458,0.273,chr2,44065978,2.46092024106141,53.2074178476844,18,0,0,230812,44065792,186,0.0605308266930581,0.471144959765011,9.58849611874842
ABHD1,26.821140226769,0.556,chr2,27346682,21.6131909030398,5.20794932372923,9,0,1,218445,27352062,5380,0.184651240916913,0.632398395658674,6.91543291234548
ABHD10,74.3730546361473,0.01,chr3,111979010,,74.3730546361473,4,1,4,427054,111698143,-280867,0.00629261687977355,0.251871503382736,46.8011940174735
ABHD11,417.342646917051,0.063,chr7,73738867,,417.342646917051,56,1,56,872000,73153574,585293,0.00582281124754515,0.246582190941858,41.7046845898247
ABHD11-AS1,1035.46952497388,0.014,chr7,73735038,583.556211999619,451.913312974265,69,1,67,872000,73153574,-581464,0.00582281124754515,0.246582190941858,41.7046845898247
ABHD12,22.963073310494,0.089,chr20,25390983,,22.963073310494,15,0,15,2057326,25566228,-175245,0.0199569412439998,0.34996208789826,38.3475508626784
ABHD12B,970.707791966262,0,chr14,51338770,735.487787901545,235.220004064717,15,3,2,1539318,51326461,-12309,0.00174579222206363,0.179981003422105,49.5769987556332
ABHD13,362.576850871993,0.021,chr13,108870739,358.189036736038,4.38781413595424,13,0,2,1511151,108870798,59,0.0244110003867678,0.369667942598704,41.514932101792
ABHD14A,9.34860522034041,0.365,chr3,51971426,,9.34860522034041,9,0,9,398411,51095202,-876224,0.0165786773690891,0.33157222462031,15.9467101055342
ABHD14B,1.4656335634978,0.114,chr3,51983277,,1.4656335634978,2,0,2,399468,52053808,-70531,0.102327960821886,0.541231756179297,-23.941775843782
ABHD15,1015.34513082092,0.001,chr17,27894055,988.800551211327,26.5445796095946,43,2,11,1802047,27893909,146,0.00301877540339088,0.20588735514114,43.7581935247993
ABHD16A,4.32056640486042,0.761,chr6,31703444,,4.32056640486042,14,0,14,727142,31607000,96444,0.153918676856553,0.60293391197762,6.85534107445433
ABHD16B,407.006590250574,0.01,chr20,62492565,50.3707530901759,356.635837160398,44,3,0,2100539,62486822,-5743,0.00257556688252719,0.197903223464304,50.2263513940557
ABHD17AP5,118.935367552552,0.092,chr22,22118005,,118.935367552552,21,1,21,2143622,22472440,-354435,0.00968593130116261,0.286110046649651,37.2469400448888
ABHD17C,1050.99157601172,0.001,chr15,80987650,1036.60425607029,14.3873199414307,42,1,3,1643847,80988657,1007,0.00606191845955239,0.248880359785825,49.6580424059823
ABHD18,16.3700796737273,0.152,chr4,127965483,,16.3700796737273,10,0,10,555003,128886727,921244,0.0175880341553434,0.337865560729868,38.0685265382265
ABHD2,0.0346486313714702,0.969,chr15,89087459,,0.0346486313714702,2,0,2,1651137,89683121,595662,0.814191312663871,0.950059758536201,1.87204199112962
ABHD3,61.9456484626918,0,chr18,21704805,,61.9456484626918,22,3,19,1890009,19180130,2524675,0.00207765374169801,0.18763960100475,42.4632788208674
ABHD4,738.125831249674,0.005,chr14,23067146,385.2484535074,352.877377742274,18,2,8,1523873,23067664,518,0.00557250891834869,0.243734402987189,47.1104417375861
ABHD5,78.898977136728,0.586,chr3,43690113,20.7720754155933,58.1269017211347,17,0,12,388832,43662934,-27179,0.0398831732521599,0.422003459337946,37.0355216006267
ABHD6,240.198533552815,0.105,chr3,58223228,232.211363232668,7.9871703201469,23,0,0,405081,58223119,-109,0.0212384477464423,0.35571756860692,36.8998531153285
ABHD8,247.448782271278,0.068,chr19,17414234,212.403523961348,35.0452583099298,18,1,0,1973777,17413836,398,0.00180636558294391,0.181001306530289,45.7355958766524
ABI1,52.220137482262,0.007,chr10,26861087,,52.220137482262,18,2,18,1163795,26985996,-124909,0.00528442385885732,0.24020805564734,49.6658114687996
ABI2,238.909945680447,0.025,chr2,204192961,231.82690512599,7.08304055445771,16,1,0,326449,204192926,-35,0.00173937391174839,0.179687153187788,57.3177649092855
ABI3,621.798131620778,0,chr17,47288068,394.491221403687,227.306910217091,16,3,0,1829101,47288242,174,0.000771901885340366,0.146177169272886,55.9092682575825
ABITRAM,94.8826086761868,0.247,chr9,111696679,84.715749887142,10.1668587890447,10,0,0,1096115,111696844,165,0.0657243364318014,0.481651702756505,22.1130942425455
ABL1,444.313060754097,0.062,chr9,133710640,278.86284460231,165.450216151787,67,3,11,1120031,133722824,12184,0.000466842198149663,0.127473044300869,63.1727027735828
ABL2,284.116823276839,0.01,chr1,179229684,239.136052097682,44.9807711791567,30,1,26,144314,179560701,-331017,0.00964063485602825,0.285624383714901,44.2859825880308
ABLIM1,109.760432182504,0.051,chr10,116418034,30.8323098649712,78.9281223175327,18,0,0,1226746,116425575,-7541,0.0210137267758866,0.354683161594715,19.820259887443
ABLIM2,203.251068110692,0.363,chr4,8073715,27.5517015992101,175.699366511482,97,1,0,499251,8082629,-8914,0.00134545201480421,0.167377336526218,46.9103737293985
ABO,498.405121289277,0.086,chr9,133275214,243.427518023342,254.977603265935,181,2,128,1125023,136293625,-3018411,0.00079277811833898,0.147158293006089,47.448738135151
ABR,2726.45136452958,0,chr17,935071,1567.33254719632,1159.11881733326,274,20,37,1766579,947144,-12073,0.000152298539508837,0.0970316151336933,71.1710952827116
ABRA,24.4270397351839,0.515,chr8,107782472,2.53443506016136,21.8926046750226,22,0,0,1007296,107870641,-88169,0.0296889762174812,0.389749076532354,11.9156335883499
ABRACL,282.376289660383,0.303,chr6,139028682,130.125416108692,152.250873551691,52,0,29,784844,139255334,226652,0.0230004699770182,0.363240930166572,19.5737321840471
ABRAXAS2,705.544373239782,0.002,chr10,126490387,698.403458746286,7.14091449349568,30,1,0,1236300,126490528,141,0.00842448316756386,0.274086515349601,37.7827052618052
ABT1,364.964124750908,0.127,chr6,26596952,234.435454493742,130.528670257167,101,2,68,721526,26758433,161481,0.00393888100691331,0.222560455866038,35.5329176231676
ABTB1,91.7195837980502,0.817,chr3,127391794,27.1187743419639,64.6008094560864,77,0,25,437526,127433604,41810,0.0202203156586463,0.350974711344298,19.2197262992215
ABTB2,1946.44564128724,0,chr11,34379557,1882.82924870187,63.6163925853658,71,7,5,1279694,34379225,332,0.00179402695758472,0.180562759069118,45.3189803698236
AC000078.5,39.7608989039254,0,chr22,19887289,,39.7608989039254,31,2,31,2138372,19832326,-54963,0.00243696474165113,0.195053035345571,-41.6979785992283
AC002059.10,2.17014123836928,0.621,chr22,29317220,,2.17014123836928,5,0,5,2152547,29709903,-392683,0.132253551494534,0.57956711068362,26.2163053708184
AC002117.1,0.100238886522759,0.735,chr17,45161510,,0.100238886522759,1,0,1,1822154,42646424,2515086,0.719548567211917,0.918947423028466,4.92571508740461
AC002310.14,0.343393696311846,0.848,chr16,30526918,,0.343393696311846,3,0,3,1709062,30510810,-16108,0.50692874743124,0.834427738686404,-2.24816918464549
AC002456.2,66.128418381676,0.032,chr7,90597353,,66.128418381676,11,1,11,883477,90225616,371737,0.000545791396579767,0.13390797686427,44.7995016009719
AC002467.7,176.507228070244,0.043,chr7,107744436,,176.507228070244,21,0,21,899325,107384198,360238,0.0150184892458484,0.322733963830557,-45.0037959659454
AC002511.2,4.15151500876452,0.732,chr19,35424652,,4.15151500876452,8,0,8,1994292,35924687,-500035,0.246783753965681,0.683360988024302,5.41463041908051
AC002511.3,0.223106083365089,0.301,chr19,35434642,,0.223106083365089,1,0,1,1994262,35903916,-469274,0.30040973893311,0.722019104419656,7.42684795259719
AC003075.4,9.87729781008179,0.241,chr7,17299357,,9.87729781008179,6,0,6,832448,17338254,-38897,0.0363855069320036,0.411088044134551,35.230995201576
AC004076.5,54.1308911526184,0.04,chr19,57449689,,54.1308911526184,7,0,7,2035902,57922258,472569,0.0123995238877065,0.306438765445712,38.2792035570689
AC004156.3,0.355764920780267,0.189,chr19,663482,,0.355764920780267,1,0,1,1929281,667171,3689,0.214596194421981,0.658295961979294,-4.21437699624589
AC004893.11,0.0405230518704554,0.618,chr7,99013244,,0.0405230518704554,1,0,1,888487,98566403,-446841,0.580608040723055,0.866156662060673,-1.74704893019963
AC004951.5,115.454001307486,0.233,chr7,43990207,,115.454001307486,32,1,32,849182,43908670,81537,0.00732236645442757,0.262899116913384,34.4160090333361
AC004967.7,5.47106867030458,0.369,chr7,97972254,,5.47106867030458,5,0,5,886922,97581079,391175,0.117979671330094,0.562437029372886,15.2870601775462
AC004980.7,42.9903784038987,0.642,chr7,76549360,,42.9903784038987,44,0,44,877911,76179202,-370158,0.019355561699719,0.346866864870402,17.3739500144816
AC004985.12,35.8153899892251,0.367,chr7,43973323,,35.8153899892251,58,1,58,849372,44027978,-54655,0.00534927961622686,0.241417654271978,25.4018181480709
AC005082.12,173.145780806579,0.255,chr7,23206013,,173.145780806579,27,1,27,835404,23222118,16105,0.00738329175371833,0.263448306861301,43.2390502412127
AC005154.6,440.228801928776,0.028,chr7,30585972,,440.228801928776,39,0,39,841348,30634605,-48633,0.0111018909533623,0.297640395222161,30.2588596222876
AC005154.7,38.9186710978249,0.132,chr7,30524535,,38.9186710978249,21,0,21,841258,30543948,-19413,0.0233751760408972,0.364941433655587,36.8326897706486
AC005154.8,254.386573331023,0.053,chr7,30544053,244.034234165765,10.3523391652577,18,0,18,841258,30543948,-105,0.0233751760408972,0.364941433655587,36.8326897706486
AC005301.9,50.880343018944,0.209,chr22,16612582,,50.880343018944,28,0,28,2133826,17083208,470626,0.0298902073864056,0.390395555066391,36.9481748015141
AC005306.3,15.151914664865,0.373,chr19,1989401,1.58477035486082,13.5671443100042,25,0,25,1936267,1970711,-18690,0.0110589915230817,0.297331654599937,-21.67478208919
AC005363.9,1408.59330785524,0,chr16,1964095,,1408.59330785524,40,7,40,1672261,2014407,-50312,3.11804327836095e-05,0.0703666308911744,67.2022726734511
AC005387.2,0.777539843491331,0.855,chr19,18532908,,0.777539843491331,6,0,6,1976546,18399038,-133870,0.335192382936361,0.74433286027247,12.5136414033362
AC005519.4,38.1895586029263,0.049,chr14,74294425,,38.1895586029263,21,0,21,1556421,74769535,-475110,0.0133970564588844,0.312947992745903,32.542112057407
AC005532.5,1.45438118734633,0.693,chr7,7255154,,1.45438118734633,3,0,3,828643,7309481,54327,0.23006215295831,0.670648788027494,8.64731274651016
AC005682.5,85.3892964357361,0.1,chr7,22854178,,85.3892964357361,12,0,12,835143,22893733,39555,0.0153551584229912,0.32456624341746,34.644439168552
AC005682.6,51.5707498193915,0.097,chr7,22881350,,51.5707498193915,10,0,10,835143,22893733,-12383,0.0153551584229912,0.32456624341746,34.644439168552
AC005775.2,179.262544410908,0.011,chr19,507496,,179.262544410908,33,3,33,1928111,494575,12921,0.00224825587732308,0.191393745623905,53.4572160520171
AC005954.4,11.1902300950812,0.481,chr19,3755339,,11.1902300950812,9,0,9,1943131,3762741,7402,0.089945318876313,0.52281642323049,27.1456916590653
AC006129.1,18.4333234955558,0.093,chr19,41531206,,18.4333234955558,26,0,26,2005636,42014334,483128,0.0254153362332612,0.373422212288977,19.4516489303242
AC006369.2,0.24096711705256,0.819,chr2,37600136,,0.24096711705256,1,0,1,226120,37828141,228005,0.794105647525138,0.944215185504703,3.13863624266251
AC006538.1,40.8789428714965,0.217,chr19,2729327,2.09952010656737,38.7794227649292,25,0,25,1939422,2740162,-10835,0.0199873294110926,0.349992026937369,35.7663970576111
AC006547.13,3.19701268130945,0.503,chr22,20070569,,3.19701268130945,4,0,4,2138867,20020811,49758,0.105065531045676,0.545038691389464,13.8813975430477
AC006942.4,53.0831520053864,0.033,chr19,49808933,,53.0831520053864,5,0,5,2022166,50312506,503573,0.0712810132993955,0.492237313759555,23.8183673517935
AC007193.9,19.3154679771382,0.333,chr19,46383169,,19.3154679771382,12,0,12,2013654,46860466,-477297,0.0912018157146388,0.524639880370764,7.74804053214814
AC007228.11,61.0180309601467,0.061,chr19,56567411,,61.0180309601467,40,0,40,2034978,57078880,-511469,0.0202371676534653,0.351087721793226,38.8714060393481
AC007228.9,0.0556671313325892,0.73,chr19,56673901,,0.0556671313325892,1,0,1,2034225,56595620,78281,0.714675211672856,0.917370690723944,3.12573367942805
AC007278.2,61.4384998327658,0.379,chr2,102433957,,61.4384998327658,24,0,24,268778,102972069,538112,0.026316911627712,0.376939073905557,34.11935544022
AC007278.3,128.755092238292,0.527,chr2,102438713,,128.755092238292,24,0,24,268778,102972069,533356,0.026316911627712,0.376939073905557,34.11935544022
AC007292.6,79.4947914551431,0.066,chr19,4363879,1.41689615671948,78.0778952984236,57,0,57,1945318,4369373,5494,0.0107276320658562,0.294924326406005,30.2863417142765
AC007556.3,11.3900182555268,0.161,chr2,169100743,,11.3900182555268,1,0,1,307882,169964246,863503,0.185679632630027,0.633282486172158,18.258486194186
AC007773.2,32.3802229998993,0.149,chr19,32405542,,32.3802229998993,20,0,20,1989475,32896305,-490763,0.0470120121010368,0.441031688369758,30.8684657658222
AC007879.2,2.13779446437252,0.66,chr2,207236066,,2.13779446437252,5,0,5,328895,208102649,-866583,0.058904263732453,0.467549981688257,5.58221922430684
AC007950.1,4.36723985392232,0.436,chr15,63469351,,4.36723985392232,6,0,6,1625211,63753733,-284382,0.134196052594439,0.581942776739816,15.9358492011083
AC008073.7,26.3589221011622,0.005,chr2,24175005,,26.3589221011622,15,1,15,214307,24397861,-222856,0.00321612878630724,0.209637699546391,38.6660285336602
AC008074.3,0.114082488683869,0.717,chr2,64453798,,0.114082488683869,1,0,1,243008,64440194,13604,0.701109463656062,0.912600042819004,-4.79609149879219
AC008592.3,147.945780524543,0.083,chr5,95835046,,147.945780524543,7,1,7,641339,95170675,664371,0.00432674509208195,0.228403188526013,45.2564908839544
AC008592.4,67.709185418792,0.023,chr5,95852721,,67.709185418792,5,1,5,641339,95170675,682046,0.00432674509208195,0.228403188526013,45.2564908839544
AC008592.8,65.9931235467053,0.029,chr5,95849309,,65.9931235467053,7,1,7,641339,95170675,-678634,0.00432674509208195,0.228403188526013,45.2564908839544
AC008746.12,303.243256479861,0.003,chr19,54439544,,303.243256479861,27,1,27,2030610,54941923,-502379,0.000353788908573129,0.120744219953897,59.5818878814136
AC008753.4,0.0626666568676496,0.778,chr19,53788782,,0.0626666568676496,2,0,2,2029039,54292819,504037,0.586919675275372,0.868613045108971,3.08496365825723
AC008982.2,0.0573802398486368,0.784,chr19,38845499,,0.0573802398486368,1,0,1,2001608,39735983,-890484,0.784019808284749,0.940919602353523,-3.63565258922304
AC008984.7,0.775964683414536,0.809,chr19,54306026,,0.775964683414536,3,0,3,2030339,54828243,-522217,0.491267166100506,0.826815399078806,11.7724036107367
AC009005.2,525.951497065772,0.02,chr19,572228,381.272991288677,144.678505777094,56,1,56,1928645,573977,-1749,0.00887514792151614,0.278094230504217,28.0230924197392
AC009120.6,1.47031873202797,0.271,chr16,74335346,,1.47031873202797,2,0,2,1739661,74406094,-70748,0.0763676516180142,0.500755910395291,10.3861677898465
AC009303.2,51.4319973915783,0.14,chr2,118014174,,51.4319973915783,23,1,23,279535,118771005,756831,0.00831747319316514,0.273028887520191,49.5691592412871
AC009403.2,0.514539331011538,0.652,chr7,155645205,,0.514539331011538,5,0,5,931879,155425325,219880,0.166109535375149,0.615291046721899,11.6876540014711
